,Activation Function,nLayers,nHidden,Iterations,Best Loss,RASE,Relative Error,Pearson Correlation,Elapsed Time
78,tanh,6,4,198,8.764831334233849,4.185704399503995,0.012817451568104245,0.02391183130311547,15.225021839141846
79,tanh,6,5,190,8.702278418761027,4.172527358774632,0.012660057740490366,0.030047815564180014,15.627952814102173
80,tanh,7,1,22,8.974771921750877,4.236659632751363,0.012501784755593864,2.0974420020802853e-06,1.6896586418151855
81,tanh,7,2,70,8.891060090141062,4.2163270767391685,0.012348880305639038,0.009577435219956909,5.549417972564697
82,tanh,7,3,212,8.82681254086996,4.202075630975777,0.01220066577587912,0.016261498624608905,17.744577646255493
83,tanh,7,4,191,8.835645814446055,4.202846632306063,0.01205591439683613,0.015900470722356674,16.756421327590942
84,tanh,7,5,214,8.652357873343252,4.156303443489968,0.01191763525405212,0.03757602424284334,19.69454860687256
85,tanh,8,1,61,8.899555403118312,4.218922624331432,0.011778437308800604,0.008357662603904692,4.799440383911133
86,tanh,8,2,135,8.890023395775803,4.215951522245841,0.011642642739428947,0.00975386416975954,11.636230230331421
87,tanh,8,3,213,8.820895356983735,4.198454783990023,0.011511030381032857,0.017956104938928408,19.880438327789307
88,tanh,8,4,165,8.833232846800296,4.20166807720147,0.011382165517381332,0.016452312370821898,15.881502628326416
89,tanh,8,5,116,8.802975521114226,4.2029199820238485,0.011256079699727868,0.015866120645398163,11.816410541534424
90,tanh,9,1,54,8.901063654437275,4.218852585747874,0.011131830277912579,0.008390586956585566,4.665697336196899
91,tanh,9,2,24,8.974757602914897,4.236664658969215,0.011009276842878644,-2.752811936179711e-07,2.409609079360962
92,tanh,9,3,142,8.856021042815474,4.207042996655377,0.01089104507353226,0.013934326259942731,14.393789291381836
93,tanh,9,4,16,8.9751655604362,4.236653584817886,0.010773708707498568,4.952482056896912e-06,1.829833984375
94,tanh,9,5,155,8.78589578781126,4.191098642496424,0.010661304317283102,0.021394381904688453,17.73965311050415
95,tanh,10,1,30,8.974785275942477,4.236664124039704,0.010548839922121774,-2.2757254525274107e-08,2.85721755027771
96,tanh,10,2,86,8.892130006418045,4.216791914438105,0.010439743424699529,0.009359040813784358,8.952295541763306
97,tanh,10,3,141,8.873561020000507,4.211534185555421,0.01033314398881608,0.011827872358246783,15.691473245620728
98,tanh,10,4,143,8.836955005975984,4.202812894790014,0.01022912727830777,0.01591626998571749,16.180042266845703
99,tanh,10,5,153,8.744188737553074,4.183640371142901,0.010128102639540757,0.02487423893597318,18.63569450378418
